Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,Customer Review,Sentiment,Emotion,Product Short
Computers and Laptops,wireless keyboard i8 mini touchpad mouse 2.4g handheld pc android tv,Jakarta Utara,53500,4.9,5449,2369,5,alhamdulillah berfungsi dengan baik. packaging aman. respon cepat dan ramah. seller dan kurir amanah,Positive,Happy,wireless keyboard i8 mini...
Computers and Laptops,paket lisensi windows 10 pro dan office 2019 original + bonus,Kota Tangerang Selatan,72000,4.9,2359,1044,5,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",Positive,Happy,paket lisensi windows 10 ...
Computers and Laptops,ssd midasforce 128 gb - tanpa caddy,Jakarta Barat,213000,5.0,12300,3573,5,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",Positive,Happy,ssd midasforce 128 gb - t...
Computers and Laptops,adaptor charger monitor lcd led tv lg merek lg 19v original,Jakarta Timur,55000,4.7,2030,672,5,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,Positive,Happy,adaptor charger monitor l...
Computers and Laptops,adaptor charger monitor lcd led tv lg merek lg 19v original,Jakarta Timur,55000,4.7,2030,672,5,"barang bagus, pengemasan aman, dapat berfungsi dengan baik",Positive,Happy,adaptor charger monitor l...
Computers and Laptops,adaptor charger monitor lcd led tv lg merek lg 19v original,Jakarta Timur,55000,4.7,2030,672,5,"barang bagus, seller ramah..",Positive,Happy,adaptor charger monitor l...
Computers and Laptops,kepala colokan listrik charger macbook untuk colokan indonesia,Jakarta Selatan,85000,4.9,1339,718,5,mantap paten joss,Positive,Happy,kepala colokan listrik ch...
Computers and Laptops,afl bidirectional hdmi switcher 1-in 2-out & 2-in 1-out - afu,Jakarta Barat,136500,5.0,1201,632,5,"works fine. respon seller cepat, barang berfungsi dengan baik. recommended.",Positive,Happy,afl bidirectional hdmi sw...
Computers and Laptops,afl bidirectional hdmi switcher 1-in 2-out & 2-in 1-out - afu,Jakarta Barat,136500,5.0,1201,632,5,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,Positive,Happy,afl bidirectional hdmi sw...
Computers and Laptops,adaptor charger original laptop asus x441 x441u x441uv x441ua x441s,Jakarta Barat,113777,4.9,1630,777,5,barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,Positive,Happy,adaptor charger original ...
Computers and Laptops,adaptor charger original laptop asus x441 x441u x441uv x441ua x441s,Jakarta Barat,113777,4.9,1630,777,5,"pengiriman super cepat, barang bagus, recommended seller, thanks",Positive,Happy,adaptor charger original ...
Computers and Laptops,adaptor charger laptop asus a455la a455ld a455lb a455 a455l original,Jakarta Utara,66000,4.8,2702,882,5,alhamdulillah barangnya udah nyampe... d coba bagus... semoga awet... terima kasih seller kurir dan tokopedia...,Positive,Happy,adaptor charger laptop as...
Computers and Laptops,kabel power adaptor charger laptop 3 lubang,Jakarta Pusat,25000,4.9,2122,828,5,"penjual amanah, responsif. kabel berfungsi baik. pengiriman cepat. terima kasih.",Positive,Happy,kabel power adaptor charg...
Computers and Laptops,charger adaptor laptop acer aspire e14 e5-421 e5-431 e5-471 e5-475g,Jakarta Pusat,55000,4.9,2010,970,5,"alhamdulillah barang sudah sampai, bisa dipakai semoga berfungsi dengan baik dan awet, kurirnya baik smoga rezekinya lancar terus",Positive,Happy,charger adaptor laptop ac...
Computers and Laptops,cooling pad laptop gaming 6 fan kipas pendingin laptop kipas cooler q3,Kota Bandung,127880,4.9,1257,700,5,bagus. berjalan baik dan cukup silent. kokoh dan muat untuk laptop 16 inch,Positive,Happy,cooling pad laptop gaming...
Computers and Laptops,cooling pad laptop gaming 6 fan kipas pendingin laptop kipas cooler q3,Kota Bandung,127880,4.9,1257,700,5,"packing aman, pengiriman cepat dan barang berfungsi dengan baik",Positive,Happy,cooling pad laptop gaming...
Computers and Laptops,"kipas laptop cooling pad ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,Positive,Happy,kipas laptop cooling pad ...
Computers and Laptops,"kipas laptop cooling pad ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,barang udah sampai ya gan dan berfungsi. terima kasih,Positive,Happy,kipas laptop cooling pad ...
Computers and Laptops,coolcold laptop vacuum vacum cooler cooling pad hisap panas notebook,Kota Depok,55000,4.8,13900,6671,5,barang mantap sesuai deskripsi laptop jadi adem n sejuk,Positive,Happy,coolcold laptop vacuum va...
Computers and Laptops,coolcold laptop vacuum vacum cooler cooling pad hisap panas notebook,Kota Depok,55000,4.8,13900,6671,5,"produk saya terima dengan kondisi baik, terima kasih ^^",Positive,Happy,coolcold laptop vacuum va...
Computers and Laptops,coolcold laptop vacuum vacum cooler cooling pad hisap panas notebook,Kota Depok,55000,4.8,13900,6671,5,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",Positive,Happy,coolcold laptop vacuum va...
Computers and Laptops,coolcold laptop vacuum vacum cooler cooling pad hisap panas notebook,Kota Depok,55000,4.8,13900,6671,5,"kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga sukses usaha-nya, aamiin ??????.",Positive,Happy,coolcold laptop vacuum va...
Computers and Laptops,cooling pad gaming ergostand kipas pendingin laptop big fan cooler pad - kipas ergostand,Jakarta Barat,74900,4.7,3713,2153,5,mantab barang nya oke punya,Positive,Happy,cooling pad gaming ergost...
Computers and Laptops,cooler master notepal cmc3 silent fan laptop cooling pad,Jakarta Barat,112000,4.9,5988,2969,5,"pengiriman cepat, packing rapi, kualitas mantap",Positive,Happy,cooler master notepal cmc...
Computers and Laptops,cooler master notepal cmc3 silent fan laptop cooling pad,Jakarta Barat,112000,4.9,5988,2969,5,silent dan bagus untuk pekerjaan ringan,Positive,Happy,cooler master notepal cmc...
Computers and Laptops,cooler master notepal cmc3 silent fan laptop cooling pad,Jakarta Barat,112000,4.9,5988,2969,5,barang cepat sampai. kualitas bagus dan pengiriman aman tidak ada yang pecah. manstapu ??????,Positive,Happy,cooler master notepal cmc...
Computers and Laptops,cooler master notepal cmc3 silent fan laptop cooling pad,Jakarta Barat,112000,4.9,5988,2969,5,"bagus, berkualitas, sesuai gbr. makasih seller, tokped dan kurir",Positive,Happy,cooler master notepal cmc...
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 rpm angin topan - gambar no 1, bening",Kota Surabaya,385000,5.0,2716,1843,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive,Happy,cooling pad laptop tahan ...
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 rpm angin topan - gambar no 1, bening",Kota Surabaya,385000,5.0,2716,1843,5,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,Positive,Happy,cooling pad laptop tahan ...
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 rpm angin topan - gambar no 1, bening",Kota Surabaya,385000,5.0,2716,1843,5,penjualnya ramah melayani pembeli dengan sabar dan memberikan berbagai saran yang pembeli tidak tahu ... mantap lah ??????,Positive,Happy,cooling pad laptop tahan ...
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 rpm angin topan - gambar no 1, bening",Kota Surabaya,385000,5.0,2716,1843,5,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",Positive,Happy,cooling pad laptop tahan ...
Computers and Laptops,macbook skin keyboard protector transparant bening - a2141 a2289,Jakarta Utara,15000,4.9,690,338,5,sangat presisi dan pas,Positive,Happy,macbook skin keyboard pro...
Computers and Laptops,macbook skin keyboard protector transparant bening - a2141 a2289,Jakarta Utara,15000,4.9,690,338,5,"puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",Positive,Happy,macbook skin keyboard pro...
Computers and Laptops,macbook skin keyboard protector transparant bening - a2141 a2289,Jakarta Utara,15000,4.9,690,338,5,"mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. cas juga responsif",Positive,Happy,macbook skin keyboard pro...
Computers and Laptops,"logitech bluetooth keyboard k380 , k 380 , k-380 - hitam",Jakarta Barat,365000,5.0,2554,1396,5,mantap barangnya cepet sampai dan enak digunainnya!,Positive,Happy,logitech bluetooth keyboa...
Computers and Laptops,"logitech bluetooth keyboard k380 , k 380 , k-380 - hitam",Jakarta Barat,365000,5.0,2554,1396,5,"barang bagus,oke, cepat pengirimannya juga",Positive,Happy,logitech bluetooth keyboa...
Computers and Laptops,"logitech bluetooth keyboard k380 , k 380 , k-380 - hitam",Jakarta Barat,365000,5.0,2554,1396,5,"pengiriman cepat, seller responsif ??",Positive,Happy,logitech bluetooth keyboa...
Computers and Laptops,wireless keyboard i8 mini touchpad mouse 2.4g handheld pc android tv,Jakarta Utara,53500,4.9,5449,2369,5,barang berfungsi baik. pemilik toko sangat responsif dan membantu saat ada sedikit kendala. sukses tokonya ya gan ??????,Positive,Happy,wireless keyboard i8 mini...
Computers and Laptops,wireless keyboard i8 mini touchpad mouse 2.4g handheld pc android tv,Jakarta Utara,53500,4.9,5449,2369,5,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",Positive,Happy,wireless keyboard i8 mini...
Computers and Laptops,logitech m191 mouse wireless full size - mid grey,Jakarta Timur,119000,4.9,9777,5546,1,sangat kecewa. baru 4 bulan scroll sudah rusak.,Negative,Sadness,logitech m191 mouse wirel...
Computers and Laptops,adaptor charger original laptop asus x441 x441u x441uv x441ua x441s,Jakarta Barat,113777,4.9,1630,777,1,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",Negative,Sadness,adaptor charger original ...
Computers and Laptops,kabel power adaptor charger laptop 3 lubang,Jakarta Pusat,25000,4.9,2122,828,1,gak bisa di pakai??,Negative,Sadness,kabel power adaptor charg...
Computers and Laptops,cooler master notepal cmc3 silent fan laptop cooling pad,Jakarta Barat,112000,4.9,5988,2969,1,kecewa parah nggk berkah jualan gitu,Negative,Sadness,cooler master notepal cmc...
Computers and Laptops,"case macbook clear bening air pro retina touchbar 11 12 13 15 inch - air 13 a1466, logo hole",Kota Bandung,90000,4.9,5182,2423,1,kecewa penjual ga tanggung jawab komplen berhari� gada solusi,Negative,Sadness,case macbook clear bening...
Computers and Laptops,"case macbook clear bening air pro retina touchbar 11 12 13 15 inch - air 13 a1466, logo hole",Kota Bandung,90000,4.9,5182,2423,1,"pas beli nanya dulu tipe untuk macbook pro 13inch m1 yang mana di variasi nya, kata penjualnya yang �new pro 13�. pas dateng casing kekecilan karena salah tipe ternyata. dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",Negative,Sadness,case macbook clear bening...
Computers and Laptops,case macbook case matte black air pro retina touchbar 11 12 13 15 inch - new air a2337m1,Kota Bandung,99000,4.9,1848,952,1,barang sampai terlalu lama padahal masih dalam kota. casing mudah lepas. jujur mengecewakan.,Negative,Sadness,case macbook case matte b...
Computers and Laptops,screen guard (protector) anti gores macbook - a2141,Jakarta Utara,50000,4.8,2967,1191,1,"kecewa belanja di tempat kamu, lain di pesan lain dikirim ??????",Negative,Sadness,screen guard (protector) ...
Computers and Laptops,screen guard (protector) anti gores macbook - a2141,Jakarta Utara,50000,4.8,2967,1191,1,"tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",Negative,Sadness,screen guard (protector) ...
Computers and Laptops,sandisk extreme pro sdxc uhs-i card 64gb 170mb/s,Jakarta Pusat,279000,5.0,3111,1456,1,"salah beli barang, tp toko tidak ada kompromi sama sekali. padahal barang masih disegel, kecewa dehhh..",Negative,Sadness,sandisk extreme pro sdxc ...
Computers and Laptops,sandisk extreme sdhc uhs-i card 32gb,Jakarta Pusat,119000,5.0,2215,1010,1,data sering error dan hilang ??,Negative,Sadness,sandisk extreme sdhc uhs-...
Computers and Laptops,logitech mk275 wireless keyboard mouse combo,Jakarta Timur,200000,4.9,3225,1528,1,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??",Negative,Sadness,logitech mk275 wireless k...
Computers and Laptops,xiaomi xiaovv webcam 1080p usb camera full hd with mic webcast live,Jakarta Barat,188000,4.9,3451,1651,1,"packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",Negative,Sadness,xiaomi xiaovv webcam 1080...
Computers and Laptops,xiaomi xiaovv webcam 1080p usb camera full hd with mic webcast live,Jakarta Barat,188000,4.9,3451,1651,1,mic dari awal ga nyala,Negative,Sadness,xiaomi xiaovv webcam 1080...
Computers and Laptops,sandisk ultra microsd 32gb a1 microsdhc uhs-i micro sd - no adapter,Jakarta Pusat,75900,4.9,6754,3507,1,"kartu sd nya cuma 29,71 gb, katanya official, tapi malah mksofficial. kecewa, ini tidak original.",Negative,Sadness,sandisk ultra microsd 32g...
Computers and Laptops,ssd 128gb rx7 garansi resmi 3thn,Kota Tangerang,210000,5.0,15400,3486,1,kecepatan tdk sesuai dgn deskripsi,Negative,Sadness,ssd 128gb rx7 garansi res...
Computers and Laptops,mouse wireless komic km-803 - 1200dpi nano usb free battery - hijau,Jakarta Utara,90000,4.8,4563,1811,1,tidak berfugsi,Negative,Sadness,mouse wireless komic km-8...
Computers and Laptops,mouse wireless komic km-803 - 1200dpi nano usb free battery - hijau,Jakarta Utara,90000,4.8,4563,1811,1,"mouse kurang bagus , pointer nya gerak gerak sendiri .",Negative,Sadness,mouse wireless komic km-8...
Computers and Laptops,mouse wireless komic km-803 - 1200dpi nano usb free battery - hijau,Jakarta Utara,90000,4.8,4563,1811,1,infra red nya jelek suka mental ke mana2,Negative,Sadness,mouse wireless komic km-8...
Computers and Laptops,mouse wireless komic km-803 - 1200dpi nano usb free battery - hijau,Jakarta Utara,90000,4.8,4563,1811,1,batre tidak sesuai ukuran dan tidak ada nano receiver.,Negative,Sadness,mouse wireless komic km-8...
Computers and Laptops,mouse wireless komic km-803 - 1200dpi nano usb free battery - hijau,Jakarta Utara,90000,4.8,4563,1811,1,boros batre,Negative,Sadness,mouse wireless komic km-8...
Computers and Laptops,htb-3100 25km single fiber mode transceiver optical media converter,Jakarta Utara,150000,4.9,5384,634,1,barang error 1,Negative,Sadness,htb-3100 25km single fibe...
Computers and Laptops,telkomsel orbit star 2,Kota Tangerang,629000,4.8,5998,3441,1,"jaringanya ngelek banget lelet mending pake indihome de, nyesel juga beli orbit jaringan ya parah,",Negative,Sadness,telkomsel orbit star 2
Computers and Laptops,telkomsel orbit star 2,Kota Tangerang,629000,4.8,5998,3441,1,tdk sesuai ekspektasi,Negative,Sadness,telkomsel orbit star 2
Computers and Laptops,telkomsel orbit star 2,Kota Tangerang,629000,4.8,5998,3441,1,lambat,Negative,Sadness,telkomsel orbit star 2
Computers and Laptops,telkomsel orbit star 2,Kota Tangerang,629000,4.8,5998,3441,1,katanya dapat paket 150 gb ternyata setelah di regiatrasi cm 300 mb..,Negative,Sadness,telkomsel orbit star 2
Computers and Laptops,telkomsel orbit star 2,Kota Tangerang,629000,4.8,5998,3441,1,"tidak bisa di register call center dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di google bukannya tidak mau cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit call center dan team orbin tidak helpful, untuk sekedar minta info gerai orbin yang buka dan no telp suruh cari di google bukannya tidak mau cari rata2 nomor telp tidak bisa di hubungin jadi apa salahnya memberikan info yang valid menyesal saya beli orbit",Negative,Sadness,telkomsel orbit star 2
Computers and Laptops,telkomsel orbit star 2,Kota Tangerang,629000,4.8,5998,3441,1,tidak sesuai,Negative,Sadness,telkomsel orbit star 2
